method,policy,target,fast-high,fast-average,fast-low,average-high,average-average,average-low,slow-high,slow-average,slow-low
test set,joint1,,"0,0","0,0","0,0","0,0","0,6086956521739131","0,0","0,0","0,34782608695652173","0,043478260869565216"
test set,joint2,,"0,09523809523809523","0,8571428571428571","0,0","0,0","0,047619047619047616","0,0","0,0","0,0","0,0"
test set,separated,,"0,0","0,8333333333333334","0,0","0,0","0,1111111111111111","0,0","0,0","0,05555555555555555","0,0"
prim,joint1,fast-high,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,joint1,fast-average,"0,0","0,0","0,0","0,0","0,7647058823529411","0,0","0,0","0,23529411764705882","0,0"
prim,joint1,average-average,"0,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
prim,joint1,slow-average,"0,0","0,0","0,0","0,0","0,25","0,0","0,0","0,6666666666666666","0,08333333333333333"
prim,joint1,slow-low,"0,0","0,0","0,0","0,0","0,16666666666666666","0,0","0,0","0,6666666666666666","0,16666666666666666"
prim,joint2,fast-high,"0,3333333333333333","0,6666666666666666","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,joint2,fast-average,"0,125","0,875","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,joint2,average-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,joint2,slow-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,joint2,slow-low,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,separated,fast-high,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,separated,fast-average,"0,0","0,9285714285714286","0,0","0,0","0,07142857142857142","0,0","0,0","0,0","0,0"
prim,separated,average-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,separated,slow-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
prim,separated,slow-low,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,joint1,fast-high,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,joint1,fast-average,"0,0","0,0","0,0","0,0","0,2","0,0","0,0","0,8","0,0"
cart,joint1,average-average,"0,0","0,0","0,0","0,0","0,6086956521739131","0,0","0,0","0,34782608695652173","0,043478260869565216"
cart,joint1,slow-average,"0,0","0,0","0,0","0,0","0,16666666666666666","0,0","0,0","0,6666666666666666","0,16666666666666666"
cart,joint2,fast-high,"0,09523809523809523","0,8571428571428571","0,0","0,0","0,047619047619047616","0,0","0,0","0,0","0,0"
cart,joint2,fast-average,"0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,joint2,average-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,joint2,slow-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,separated,fast-high,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,separated,fast-average,"0,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,separated,average-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
cart,separated,slow-average,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
